제품명,평점,최저가,배송비
2021년형리하스 올스텐 KHD-16L,평점4.7,"129,000",무료배송리하스
원더스리빙 원더스 쿡킹 A7 올스텐,평점4.8,"129,000",무료배송원더스리빙
원더스리빙 원더스 쿡킹 A9올스텐,평점4.8,"199,000",무료배송원더스리빙
일리 프란시스 Y3.3,평점4.8,"121,890","배송비 3,000원옥션"
삼성전자 비스포크 RF85A9103AP,평점4.9,"1,370,000",무료배송하이마트쇼핑몰
삼성전자 비스포크 RB33A3004AP (색상선택),평점4.8,"609,000",무료배송하이마트쇼핑몰
삼성전자 삼성 RS84T5081SA,평점4.8,"1,212,800",무료배송11번가
삼성전자 비스포크 RF85A9001AP (색상선택),평점4.8,"1,704,020",무료배송11번가
아이프리 레가토 시그널,평점5,"169,000",무료배송아이프리 스토어
네스프레소 버츄오 플러스,평점4.8,"229,000",무료배송쿠팡
바란 분유포트,평점5,"69,000",무료배송비비딕
쿠쿠 CRP-LHTR0610FW 트윈프레셔,평점4.8,"402,160","배송비 5,000원티몬"
LG전자 오브제컬렉션 DUBJ2EA,평점4.9,"1,320,700","배송비 30,000원11번가"
쿠쿠 CRP-DHP0610FD,평점4.7,"214,730","배송비 5,000원티몬"
네스프레소 에센자 미니 C30,평점4.9,"125,600",무료배송오케이몰
쿠쿠전자 쿠쿠 CRP-CHP1010FD,평점4.7,"255,520",무료배송티몬
휴렉 HD-9000SD,평점4.8,"890,000",무료배송HULEC
2021년형발뮤다 더 토스터 K05B (2021년형),평점4.9,"247,020",무료배송G9
2020년형스마트카라 PCS-400,평점4.7,"667,830",무료배송니즈라이프몰
렌탈LG전자 LG퓨리케어 WD102AW(렌탈),평점4.9,"18,800",무료배송LG퓨리케어판매처
LG전자 디오스 DUB22MA,평점4.8,"1,193,000",무료배송11번가
네스프레소 시티즈 D113,평점4.9,"209,900",무료배송우리아가
렌탈LG전자 LG퓨리케어 WD502AW(렌탈),평점5,"27,800",무료배송LG퓨리케어판매처
메디니스 KDW-002,평점5,"44,800",무료배송메디니스
