title,date,content
실물이 예상했던것 보다 훨씬 마음에 들었고 가격에 비해,21.08.14.,실물이 예상했던것 보다 훨씬 마음에 들었고 가격에 비해 굉장히 좋은 4도어 냉장고라고 느꼈습니다. 굳이 필요없는 기능이 포함되어 있는 높은 가격대의 냉장고 보다는 각자의 사정에 맞는 이런 실속형 제품이 필요했는데 딱 안성맞춤으로 주문을 잘했다는 생각이 듭니다. 870L라는 대용량은 깊고 넓네요. 아직 반도 못채운 상태입니다. 기존 냉장고 상태가 별로 좋지않아 새로 사려고 알아보니 요즘 제품들은 기본 300만원 이상부터 시작이고 저희 집에는 잘 맞지 않는 높이인 제품이 대부분 이었습니다. 그래서 4도어/1등급/국내생산 이라는 기준으로 검색해보니 이 제품이 제일 괜찮게 보여서 주문을 결정하게 되었습니다. 인터넷 주문이 확실히 오프라인 구매보다는 저렴합니다. 냉장고는 살짝 어두운 메탈 재질의 도어가 고급스러워 보여서 마음에 듭니다. 단점은 반찬통으로 살짝 닿기만 했는데 자동차처럼 문콕이 생기는 부분입니다. 금속 재질 마감이라 실사용시 어쩔수 없는 부분인듯 합니다. 냉장 냉동은 전원을 꽂고 설치한뒤 한두시간 내로 냉기가 잘 들어오는걸 느꼈고 냉동식품 같은 경우는 하룻밤이 지나서 설정온도인 영하 19도로 작동하는걸 확인했습니다. 냉장은 금방 냉기가 느껴지지만 냉동은 인내심을 가지고 기다려야 제 성능이 발휘 되었습니다. 아침 일찍 연락주신 배송 기사님은 두 분이 한 조로 움직이는데 친절하고 정확하게 작업을 해주셔서 좋았습니다. 출발전 미리 전화-도착후 확인 전화-사전 준비할 부분 설명 충분히 잘 해주셨고 . 가전은 LG라는데 신뢰감을 느꼈습니다. 주문하고 열흘뒤에 설치받았습니다. 앞으로 잘 사용하겠습니다.
어머니댁 냉장고가 고장나서 검색중 평이 좋아 주문 했습,21.08.10.,"어머니댁 냉장고가 고장나서 검색중 평이 좋아 주문 했습니다.
제품은 제가 보질 못했지만 어머니도 좋다고 하시긴 한데 배송 과정이 좀 아쉽네요.
제품만은 다 같은거라 좋고 나쁘고는 없는데 경기도 파주지역에선 사다리차도 무료인데
집안내에서 냉장고를 옮기는데 비용이 49,000원이나 들었네요.
그 정도 비용이 든다는걸 알았다면 사다리차를 써서 바로 그쪽으로 옮기던지 할걸 그랬습니다.
나중에 통화해보니 기사분이 파주 전 지역을 담당하고 있고
그 쪽 지역에서 주문시 냉장고를 빼고 그 자리에 넣는게 아니고 냉장고 위치 이동시 49,000원정도의
비용이 든다고 하니 참고하시 바랍니다.

그 비용까지 생각했다면 좀 더 저렴하거나 이동을 해줄 수 있는곳을 선택해서 구매했을텐데 아쉽네요.
어머니 혼자 계셔서 제가 가보려다 어머니가 잘 설치하겠다고 해서 맡겼는데
돈이 추가로 들어서 좀 죄송하고 속상하네요.

제품은 맘에 드신다고 합니다.
냉장고 잘 사용하겠습니다."
배송은 안내전화 왔던거보다 하루 일찍 왔어요! 친정에 선물해드린건데 아주 만족하십니다!! 옛날집이라 현관이 좁아서 고생 많이하셨을거에요ㅠㅠ 아버지가 설치기사님들 친절하시다고 칭찬,21.05.03.,배송은 안내전화 왔던거보다 하루 일찍 왔어요! 친정에 선물해드린건데 아주 만족하십니다!! 옛날집이라 현관이 좁아서 고생 많이하셨을거에요ㅠㅠ 아버지가 설치기사님들 친절하시다고 칭찬 많이 하시더라구요!! 상품도 완전 대만족입니다!! 전에 쓰던 냉장고가 600리터정도 였는데 그땐 꽉 찼는데 지금은 텅텅 빈다고 용량커서 너무 마음에 든다고 하시더라구요!! 좋은 상품 싸게 잘 사서 기분 좋네요~~
14년만에 고장나서 바꿨어요 생각보다 색깔이 진해서 좋,21.08.16.,14년만에 고장나서 바꿨어요 생각보다 색깔이 진해서 좋아요..많이 번들거리지도 않구요 근데 2도어쓰다가 4도어쓰니 좀어색하긴하네요 서랍도 하나씩더없어서 불편해도 문짝에 많이들어가니 좋긴하네요..2주만에 온듯하고 오자마자 설치후 2시간후 넣어야하고 그래도 완전히 적정온도 가동하기까지 하루걸린다고 하셨는데..역시...2시간동안 아이스박스에 넣었을땐 멀쩡했던 버섯이랑 야채냉동시킨거는 냉장고 넣어놔도 다녹아서 버렸어요 ㅜ ㅜ 냉장고 바꾸실땐 비워놓으시길~~ 가격대비 괜찮아요 오브제보단 문이 조금 라운드라서 기존에 쓰던 14년전 디오스보다 용량도 커서 좀많이 튀어나오네요..아직은 하루더지켜봐야겠어요 얼음도 설치한지 8시간째인데 여전히 안얼었거든요~
기존 15년 이상된 엘지양문형 냉장고가 성에가 끼고 너,21.07.23.,"기존 15년 이상된 엘지양문형 냉장고가 성에가 끼고 너무 오래써서(고장이 안남)...
드디어 바꿨네요. 옆에 양문형김치냉장고도 엘지..만족도가 최고라..이번에도 믿고 구입
배송 3일만에 왔고, 설치 말끔하게 해주셨네요.
사용해본 결과 대만족입니다. 볼수록 세련됐고, 상칸전체가 냉장실...광활합니다. 가운데벽이 없어서
넓고 쾌적하며 수납이 장난아니네요. 키높은 와인병도 들어가고, 과일칸도 두칸이라 넓고, 문쪽 수납도
깊어서 식품, 음료, 계란, 냉장식품 다 수납되네요.
쾌적, 얼음자동얼리는 방식도 새롭고 편리합니다.
가격은 믿기지 않을 정도로 156만원에 이런 제품을 구입하다니..."
배송 생각보다 빠르게 오고 톡으,21.05.07.,배송 생각보다 빠르게 오고 톡으로 날짜도 정할수있게해주셔서 좋았고~냉장고도 오전일찍 설치기사님오셔서 설치해주시고~폐가전도 수거해주시고~설명도 잘해주셨어요~오랜만에 바꾼 냉장고라서 부모님께서 좋아하셔서 다행이였어요!에너지등급도1등급이라 맘에들고 디자인도 맘에들어요~잘쓰겠습니다~
14년사용한 냉장고가 크리스마스날 갑자기 고장이나서 여,21.01.16.,"14년사용한 냉장고가 크리스마스날 갑자기 고장이나서 여러가지 고민끝에 선택하게되었어요
선택기준은 에너지소비효율등급,제조국,용량,가격 이었어요
요즘 유행하는 4도어에 알록달록 예쁜문은 등급이 3등급이 많았구요.
물론 1등급도 있지만 가격은 껑충 뛰었고 년전기세따지면 큰금액아니라고는 하지만 그래도 한번구매하면 십년이상 써줘야하니.무조건 1등급에 중국제조아닌걸 골랐습니다.거기다가 가격까지 착하면 더좋죠..
주문후 20일만에받았지만 다행히 기존 LG김냉을 냉동칸으로 바꿔서 사용하고 날씨가 추운덕에 실외기실에 냉장품을 갖다놓고 생활하였네요.늦은 배송이 아쉬웠지만 제품받고 싹 사라졌네요.
냉동2칸분리되어 고기.생선.조개류 / 아이스크림..
냉장칸도 넓직한것이 좋았지만 살짝 .
예를들면 마트파는 유자청큰병 요런거는 안들어가네요.
작은병에 소분해서 넣어먹어야할듯요..
쓰다보면 적응할듯합니다.
.
샀기때문에 모든불편은 다 감수할수있어요~
냉장고 사려고 이틀을 꼬박 알아보고산거라..다른분께 도움되길 바래요"
"드디어 쓰고 싶었던 상냉장,하냉동 4도어 냉장고가 도착",21.02.22.,"드디어 쓰고 싶었던 상냉장,하냉동 4도어 냉장고가 도착했네요..
저는 주문이 많이 밀린다는 안내문구를 보고 맘편히 기다리고 있었구요. 글구 기존 냉장고가 고장나지않아서 특별히 조급하지 않은상태였습니다.
저는 주문하고 정확히 보름뒤에 받았습니다.
오전8:반경 물류기사님이 전화와서 시간약속 정한뒤 정확한 시간에 오셨습니다.
저희는 엘리베이터가 작아서 사다리차를 이용했구요. 기사님 두분이 오셔서 기존 냉장고 수거하신 뒤
새냉장고 설치하셨습니다.
처음에는 생각한 것보다 냉장고가 크게 느껴졌는데요. 시간이지나고 적응하다보니 지금은 그닥 처음느낌의 거대함은 아니네요.
설치기사님들의 노하우로 능숙하고 조심스럽게
설치해주셨구요. 비닐도 하나하나 제거해주시고,
제품안내도 해주셨습니다.
지금 한 달가까이 쓰고있는데 소음도 심하지않고
4도어에 익숙해지면서 잘사용중입니다.
전 4도어냉장고를 구입하려구 LG와 삼성 비스** 냉장고를 6개월이상 알아보고 고민하고 비교하고 골랐습니다. 하이**,이**,이마트 트레***,삼*매장과 lg매장까지 두루두루 냉장고 구경하고 찜해둔 냉장고 만 여러대입니다.
솔직히 타사의 어여쁜 색감의 냉장고에 마음을 두고 색감까지 저희집에 맞춰 골랐드랬죠.
하지만 ,최종적으로 1등급,4도어, 국내생산
이세가지에 가격과 LG까지 퍼즐을 맞춰보니
이제품이 저에게는 종착역이었습니다.
기존냉장고가 고장나지 않은상태였기에
4도어 냉장고를 쓰고 싶다는 마음에 기나긴
여행을 했습니다.
혹여나 갑작스레 고장나서 냉장고 선택이 필요하신분들에게 조금이나마 저의 선택기준이 도움이 되길바래봅니다."
**원래 배송이 하루만에 올 예정이었는데 비가 이틀동안...,21.09.10.,"**원래 배송이 하루만에 올 예정이었는데 비가 이틀동안 오는 바람에 미루고 오늘 금요일에 받았네요.
현관문간격이 82cm라 기사님께서 현관으로도 가능하다고 했지만 요청사항에 ""사다리 필요""라는 문구를 넣은상태라 기사님께서 사다리차로 사용하신다고 해서 베란다로 운반 입고했습니다.
**오늘 12시 정도에 오셨는데 조금 더워서 기사님들이 땀을 아주 많이 흘리셨어요.
새냉장고는 조금 가벼웠는데 기존 폐가전 삼성냉장고는 16년 사용했는데 670리터지만 훨씬 무거워서 고생들 하셨어요.ㅠㅠ
**상냉장 하냉동을 말로만 듣다가 구입했는데 정말 저에게는 신세계입니다.
폭은 기존냉장고와 똑같고 깊이가 깊고 높이도 약간 높네요.
상냉장칸은 수납공간이 넓고 키작은 나는 까치발로 해야지 맨윗칸을 사용할수있어요.
혹시 높은 김치통은 중간에 선반을 위로 올리면 자~~알 들어갑니다.
하냉동칸은 너무너무 수납공간이 좋아서 만족합니다. 하지만 높이가 낮아서 젓국같은 높은 병은 안들어가요.ㅠㅠ
그리고 바깥에 온도표시가 되어 있지않아서 항상 냉장칸문을 열어야지만 확인 가능해서 조금은 불편합니다.
아참, 1등급이라 맘이 든든합니다.
컴프레샤도 10년 무상보증이라 굿입니다."
너무 반짝거린다고 하시네요.,21.09.08.,"S성 쇼케이스 쓰다가 6년 안되서 같은 증상으로 세번 고장나는바람에 이번에 새로 사게 되었어요.2주정도 걸린다고하던데 일주일도 안걸렸어요.다만 S성에서 아직 가져가질 않아서 거실에 있거든요. 엄마가 자꾸 비교하는바람에 속상해요.정책이 바뀌어서 10% 환급도 불가하다고 하네요.이럴줄 알았으면 7,80만원 더주고 한단계 위 제품으로 샀을텐데 아쉬워요.할머니께서도 겉모양이 얇아보이신다고.ㅋㅋ겉은 시트지 붙이기로하고 일단락 되었어요.세로형 쓰다가 가로형으로 쓰니 정리하기 힘들다고 하시지만 장점은 문열때 떨어지는거 없어서 그거 하나 좋다고 하세요.내부는 플라스틱인데 꿀렁거린다고..새 냉장고 산건데 기쁘질 않다고 하세요.싸구려라고 가족들 다 한마디씩. 전 괜찮던데."
