date,star,like,comment
"September 19, 2021",1,15.0,"Really unbelievable you can't even turn on a Samsung television with a Samsung phone. Absolutely not user friendly, by the time you figured it out you've forgot the next time. So glitchy, never holds settings, automation doesn't work correctly, does not interface as it says, not even with Bixby. If ...
Full Review"
"September 17, 2021",1,12.0,"This app is so bad. It continually and randomly transfers the audio output to my bluetooth headset. Unless I keep checking the app for the current location of the audio output, I almost always miss my calls and messages because the phone doesn't ring, it just beeps on the bluetooth headset that is s...
Full Review"
"September 17, 2021",2,11.0,"I have this app on Android and iOS. It will not allow me to add my photos to the gallery of the Frame TV. One device won't allow it and the other seems like it's going to do but crashes - every time! Pathetic for a tech company. Imagine Google or Apple having an app that can't do a basic function? C...
Full Review"
"September 15, 2021",2,15.0,"Watch app does not sync current state status for Favorites correctly. It's always slow and often wrong. Reply: On the Samsung Galaxy Watch 4, opening the app does not always sync the state of my Favorite Devices. it will show a light being on when it's off, etc. I have to force quit the app on the w...
Full Review"
"September 11, 2021",1,8.0,"Unable to add my hue lights, every function comes up with fail, and when it finally detects something that too fails. App takes along time to load anything. Have set my home geo location but every time I go to add a new price of equipment I have to manually set it again, why did I even bother. Hard ...
Full Review"
"September 18, 2021",4,,"I don't really use it at all but the only time I do use it, is when I am connected to some Bluetooth speakers and headphones. It works well for that and I'm not sure if this app that is the problem or not but someone else was playing on my speaker with their phone and my phone just decided to connec...
Full Review"
"August 25, 2021",1,66.0,"I was disappointed in the previous update for our refrigerator when it got rid of the allrecipes app. I've not liked what they replaced it with but everything else was okay. The newest update is awful. If we're using an app, like Pandora, as soon as you open the fridge it stops playing and we have t...
Full Review"
"September 11, 2021",5,3.0,"When controlling a Samsung tv, make sure you've selected the right device by finding the model type under system info. I had a weird issue where I picked the wrong tv, and the touchpad on the app was acting like a cursor with Hulu and Disney. The Dpad and swipe features should be switchable rather t...
Full Review"
"September 15, 2021",1,4.0,"This app only gets one star, it absolutely sucks!!! SmartThings app does not have the same capabilities as the Smartview app. There are some of us that don't care about all the automation that the SmartThings app offers. Smartview was not broken. The least Samsung could have done with this awful app...
Full Review"
"September 17, 2021",1,,"Brilliant but .... This application would be given a well deserved 5 stars if the tags , location , routeins etc would work / connect to and control widely available home automation / security systems ie. Hive HomeSheild / Hive Home ? This application already works with Philips , Amazon and Google. ...
Full Review"
"September 12, 2021",2,45.0,"I don't understand how a company that makes smartphones and tons of electronics can be so bad at app development. They moved the family hub features of the smart fridge into this app and they rarely work. Clicking on the shopping list is like playing Roulette. You might come to a forever spinning wh...
Full Review"
"September 2, 2021",1,51.0,"This is such an incredibly buggy app. Who the hell is in charge of QA for this thing? I have basically never been able to change the picture on my Frame TV, because the option is literally just not selectable. I've tried removing and reinstalling, checking for updates, rebooting the TV, everything. ...
Full Review"
"September 2, 2021",1,36.0,"I paid nearly 3 grand for a fridge that I could control from my phone, but since the last update and the family hub app was retired, this app is totally useless and a complete pain. You can no longer upload photos to your fridge, and the view inside feature only works when I access it from the fridg...
Full Review"
"August 29, 2021",1,68.0,"As far as replacing Family Hub this app is worthless. The shopping list rarely syncs, even when standing directly in front of the fridge, of you can get it to load at all. 0/10 for shopping list. The recipes are far more aligned with actual ingredients in my fridge but it's just a picture and a name...
Full Review"
"September 19, 2021",1,,"The app used to work great, but now it force closes every time I try to pull a camera up to see the video. I have reported the feedback multiple times and nothing has changed. I have cleared the cache, force stopped the app, and deleted it multiple times. Nest and Ring doesn't have these issues."
"August 25, 2021",3,41.0,"Was great. Now rubbish. Previously able to ""mirror screen"" on TV (cast to TV). Won't now. Can turn TV on + off and do volume but can't cast anymore so what's the point. And yes, I have uninstalled and reinstalled it and still no joy. Rubbish. *UPDATE* Installed again. Will ""mirror screen"" now but no...
Full Review"
"September 16, 2021",1,5.0,"5/1/21 App crashes for past 3 weeks now every time I try to access my cams. Sent multiple crash reports with no responses thus far. 9/8/21 update. I have been in contact with customer support now for months and still no resolution. Really want a refund for all of this useless equipment now. App stil...
Full Review"
"September 18, 2021",1,,"It clearly has the supported TV model in the list, but never connects. Both devices are on the same Internet connection, TV is discoverable, spent ages trying to close the app, restart it, restart the process, nothing! Disappointed because I can't even chrome cast to the TV so thought this app would...
Full Review"
"August 29, 2021",1,68.0,"Are you kidding!!! You pay all this $$$ for this fridge with the family hub feature and it doesn't work. It was working fine until the upgrade and now I can no longer take my shopping list with me. I add items on the fridge and then cannot see them on the app. Not to mention everytime I open the hub...
Full Review"
"August 28, 2021",1,48.0,"Family hub was better, easier to use. We use it for our refrigerator for the shopping list and the meal planner. You can no longer use the meal planner to put your own recipes in. You can only put in recipes that are on their site. The shopping list on the app is very difficult to get to and it won'...
Full Review"
"August 29, 2021",1,8.0,"Ever since ""Find my earbuds"" moved from Galaxy wear to Smart things, it's absolutely useless. I can have my earbuds in the same room, case closed, and the ""Smart Things Find"" will never find them. Previously, when this functionality was in Galaxy Wear, it worked without issue. In fact, that function...
Full Review"
"September 14, 2021",4,,"To be honest, I have had very little experience with SMART THINGS as of this review, however, I'm giving it 4 ☆s simply because Samsung rarely disappoints, but, there is a chance I could find something that I don't like or something that needs attention in my opinion. Enjoy SMART THINGS like the SMA...
Full Review"
"August 29, 2021",1,12.0,"Awful Features! It won't let you add your own recipes to the meal planner section, won't let you delete things from the ""cook with these"" section and forces you to choose from a very narrow list of vendors. You've made this app very unfriendly to use! Having the ability to choose recipes from Pinter...
Full Review"
"September 3, 2021",1,48.0,"I loved Family Hub. It was user friendly and easy to use., howevet, the new app is the completely opposite. It's not user friendly. Everytime I try to access my shopping list (which I absolutely loved with Family Hub) the app crashes or I get a notification that something went wrong and to try again...
Full Review"
"August 30, 2021",1,8.0,"The new revision is terrible.I had do download smart things and now I cannot upload pictures. I have requested help but no response for days. Wish I never allowed the new revision. I was happy with the last one. Also. Did like the recipes too. I just want to upload some pictures and it's a nighmare....
Full Review"
"September 13, 2021",1,15.0,"The new upgrade is terrible! I loved having Bixby & being able to have her add items to my grocery list. The grocery list is now useless! Can't cross items off. Some items transfer from my fridge to the app/vica versa, others don't. The grocery list on my app doesn't work at all now: won't sync to f...
Full Review"
"August 29, 2021",2,6.0,"I hate why my bluetooth devices is on the first tab and cannot move or remove, it has nothing to do with my home security. I don't like controlling my Bluetooth devices from here. I hate that I have to swipe through different rooms, instead of having shortcut icons in one page. The entire interface ...
Full Review"
"August 28, 2021",1,12.0,"When family hub migrated over to this new app it lost all of my favorite recipes. I've been trying to get the SmartThings Cooking part of the app setup but it will not configure itself. It's been frozen on one screen with a spinning wheel at the bottom four hours. I've done usual; uninstall the app,...
Full Review"
"August 31, 2021",2,1.0,"Works great until updates happen. Then I have to reset and reconnect some of my devices. Stop doing so many updates!! And if you do them dont make it take some of my non-Samsung approved devices offline! I just installed new Sengled wifi bulbs about a week ago in two lamps. Everyday the bulbs go off...
Full Review"
"September 12, 2021",3,2.0,"UPDATE: I have found that if you delete your linked services and reconnect, it did help solve the problem. I updated from 1 to 3 stars. Would have been better if devolpet would have had better information. Recent update has many bugs... Hub no longer receives the status updates from my Lutron hub, s...
Full Review"
"August 28, 2021",2,2.0,"It's okay. Can't stream half the stuff I want to the TV using this app. When doing TV sound to my phone the only option is wired headphones or phone speaker, some phones don't have an option for wired headphones without buying accessories just for that. Why is using Bluetooth headphones during this ...
Full Review"
"September 15, 2021",1,,"Downloaded to control my robot vacuum cleaner. This would have to be one of the most frustrating and dumbest bits of software i've had the misfortune to try. I cannot even begin to describe the myriad ways it has wasted my precious time. Edit: thank you for your below offer to waste even more of my ...
Full Review"
