date,user,star,like,comment
2021년 9월 16일,김정순,1,5.0,SmartThings 사용을 환영합니다 사용을 계속하려면 개인정보동의 등 화면에서 동의를 누르면 다음 나오는 화면 계정을 등록 하세요 삼성 계정에 생년월일을 추가 해주세요 (이하생략) 화면에서 확인을 클릭하면 화면이 사라져버려 사용할수가 없습니다. 조치할 수 있는 방법은 없는지요?
2021년 9월 17일,김소정,1,1.0,그전엔 핸드폰과 티비(serif)와연결하면 바로 리모컨모드로 사용할 수 있었는데 업데이트 이후 사용할 수 없음이 계속 뜨거나 스마트 뷰 연결이 뜨고 어찌어찌 리모컨모드로 사용하려면 매직스크린 사용 후 리모컨 모드로 사용되고 너무너무 불편하고 쓸모없어졌네요
2021년 9월 16일,안승욱,1,9.0,AI power manager 회사 3구 스위치 사용중입니다. 1년전부터 사용중인데 약 한달 전부터 2-3일에 한번씩 기기 오프라인으로 연결이 안됩니다. 다시 기기 등록하면 되나 주기적으로 오프라인으로 연결해제됩니다. 많이 불편하네요. 해결 방법이 없나요?
2021년 9월 17일,지혜원,5,1.0,갤럭시워치랑 스마트폰이 멀어져서 연결이 끊겼을때 워치에 분실알림 뜰수있는 기능 만들어주시면 좋을거같아요 시계는 항상 차고있어서 분실위험이 적지만 스마트폰은 그렇지 않기때문에 알려주면 좋을거같아요!
2021년 9월 1일,Sungnam Lee,1,7.0,삼성 모니터 m7과 탭뷰 연결할려고만 하면 앱이 중단됩니다. 재설치 해도 마찬가지고요. 모니터 초기화도 해보고 네트워크(와이파이)도 재설정해도 탭뷰하면 연결중 팝업떴다가 사라지고 앱중단됐다고 팝업뜨는데 앱문제인가요 모니터 문제인가요 해결방법알려주세요 모니터른 교환을 해야되는지 답답해 죽겠습니다. 오류보고는 몇번을 보내도 연락도 없고 하아 갤럭시스토어에서도 앱설치해봤다구요!!!
2021년 9월 2일,bomi son,3,5.0,"아기키우는데 아기재우고 나와서 방문안열고도 더우면 에어컨 켜주고 현재온도도 보고 추우면 온도조절등 좋아요. 근데 제안하고픈점이 있는데 온도내리고 올리기가 한칸씩밖에 안되서 너무 답답해요. 그냥 19도라고 숫자넣을수 있음 좋겠어요. 그리고 제~~~~일 건의하고 싶은건 설정 들어가서 불빛 끄는 기능이요, 온도 한도 올릴때마다 다시꺼야해서 아기 자다깨서 불빛 가리키고 잠깨서 진짜 짜증나요ㅠㅠ 한번 껐으면 다시 켤때까지 켜지지않게 해주시는게 맞다생각해요. 어플로할때는 1도 올리고 내릴때마다 불켜서 확인?시켜주지 않아도 앱에 뜨니까 그리해주...
전체 리뷰"
2021년 9월 10일,HUN JAM,3,11.0,"tv 바로가기나 상태표시줄의 리모컨을 눌렀을때, 바로 리모컨으로 진입하게 해주세요. 외부입력, 매직스크린, 유니버셜 가이드같은 부차적인 기능 때문에 리모컨 진입할 때 한번 더 버튼을 눌러야한다는게 이해가 안갑니다. 그런 게 필요한 사용자도 있겠지만 리모컨 진입할때 확인하고 넘어가게 ui를 만들 필요는 없지않나요?"
2021년 9월 10일,Michael Western,4,,"비스포크 로봇청소기 예약청소 할때마다 폰에서 상태가 [로봇청소기가 충전기에 있지않아 예약청소를 시작할수 없습니다] 라고 뜨네요. 잘 하고 있는데 이 상태메세지는 고쳐야 할것 같네요... ***리뷰 답변에 중복작업일때 생기는현상이라고 했는데, 절대 그렇지 않습니다. 중복작업 없는데도 그런 멘트가 나오니까 다시 검토해보세요.."
2021년 9월 13일,김주환,1,11.0,"몇번의 오류보내기에도 똑같은 답변에 짜증납니다. 이제 기존의 9+에서 보고 있습니다. 9+에선 잘 되는것이 21울트라 에서 안되어 이번에도 똑같은 답변에 2021,08,13일 익산서비스센터에 저의 9+를 가지고 가서 화면 미러링이 되는것 보여드리고 서비스기사님 께서 본사에 보내고 연락을 주신다고 합니다. 연락주세요. =보냈으나 답변이 없네요 08윌28일:동글을 21울트라 테스트 마친것으로 구입을 한다는데 복사해서 붙이기 식으로 고장내용의 내용만 전송 하니 뻔한 이런 문의하기가 뭐 필요한지 돈들여 만든 이유가 궁금 하군요. 테스트 마...
전체 리뷰"
2021년 9월 13일,김대현,5,,안녕하세요 항상 스마트띵을 잘 사용 하고 있습니다 다름이 아니오라 건의 하고 싶은게 있는 데 큐커를 연결한 이후로 큐커를 사용 할때 마다 알람이 오네요 ㅠㅠ 혹시 기기별로 알람을 켜고끄고를 만들어 주시면 안되나요 그리고 큐커를 연결한 이후로 잘 반응을 하지 안아요ㅠㅠ 해결해주세요 감사합니다
