date,star,like,comment
"September 18, 2021",1,12.0,"This app no longer works. It has just updated and tells me my login is incorrect, not only that, after about three attempts it tells me my account has had too many login attempts and sends me an email to verify the account. Logging in on their website works fine. They released this update yesterday ...
Full Review"
"September 19, 2021",1,,"Everything worked fine until a week or so ago. Now it will not connect to my oven anymore. Tried starting over and it says it may not work with a 5ghz network, try setting your router to 2.4ghz and try again. Um. No. Everything was just working fine, I have not changed my router settings, and I'm no...
Full Review"
"September 18, 2021",2,6.0,"App doesn't work with wired TV connection. EDIT: I tried the app just after the TV updated its firmware, then posted my original review. I connected the TV to the WiFi access point for the wired network and the app worked fine, just not with the WIRED connection. The app itself appears to provide no...
Full Review"
"September 18, 2021",1,2.0,"I'm trying this again by have Alexa connection turn on my LG TV WebOS TV. LG and Amazon doesn't work together. Each one tells you to follow instructions on the other one. And instructions do not exist to connect to Alexa or to connect to LG they just do not exist. It's impossible to answer the quest...
Full Review"
"September 1, 2021",1,104.0,"Just embarrassing. Absolutely, 100%, will not connect to Google home. Despite the app seeing my TV, Google home / assistant will not link to it. This is not Google s's problem. LG reports to Google that there are no devices, and therefore will not link. This has been a problem for over TWO YEARS! I ...
Full Review"
"September 12, 2021",1,38.0,"After a couple of months of working perfectly, it just stops working. From one day when it works fine to the next when it will not connect to my LG Smart TV no matter what I try (including all of the advice the app's developers could give me). Until LG fix their app, if being able to use this app to...
Full Review"
"September 9, 2021",5,19.0,"I changed my review from 3-5 stars, previously stating that the features in the app are convenient and work well, but that it would take the app a really long time to connect to my TV each time. I got a recommendation from the developers about an email address to contact, which I did, and now my pro...
Full Review"
"September 4, 2021",2,20.0,"I'm commenting on the app and my LG oven, as respects app utility. The remote start feature has to be physically turned on, on the oven, before use. Once on, you cannot use the oven locally. I see the safety concern, but find LG's solution nanny-ish, making the feature useless. I used the app to hea...
Full Review"
"September 7, 2021",3,16.0,"This app works fine for what it is, but it's very limited. For the window air conditioner, it is basically a glorified remote control, nothing ""smart"" about it. I can't schedule temperatures or fan speeds. All I can schedule is it turning on and off. It doesn't even record energy usage for the unit....
Full Review"
"September 13, 2021",2,23.0,"The app works fine sometimes, but often times it doesn't detect my tv if it isn't already on. My main complaint is that it STILL isn't possible to connect LG Thinq with Google Assistant nor Alexa. How does LG make this promise, when apparently it doesn't work for a lot of users. It seems like LG doe...
Full Review"
