date,star,like,comment
2021년 09월 05일,1,36.0,"추가정보등록은 앱설정에서 충분히 할수있음에도 굳이 기기화면마다 상단배치하여 끈질기게 개인정보를 요구하는점, 추가정보등록을 일회거부시 다시 묻지않는 구버전을 사용하면 앱실행시마다 업데이트를 강요하는 개발자 팝업이 지속적으로 뜨는점, 스마트씽스나 미홈, 투야 등 어느 유사앱들에서도 전례가 없는 개인정보 요구에 정부 유관부서에 문의예정이다. 소비자를 기망하여 개인정보를 이용한 마케팅질을 당장 중단하길 바란다."
2021년 09월 06일,1,15.0,그냥 엘지제품은 리모컨만 사용하는것이 정신 건강에 좋을 듯합니다 앱에서 제품삭제하고 제품 전원 차단 후 1분 후에 전원 켜서 제품 재등록하니 기존 추가 등록 정보도 다 지워진상태입니다 이제는 알려준대로 재 설치해도 안되고 그냥 리모컨 쓰는것이 답일것 같네요 아님 앱 오류 해결 못할것 같으면 7월전 업데이트 되기전 상태로 돌려주세요 그때까지는 정상적으로 잘 되었는데 암튼 해결못할것 같으면 원복하는것도 좋을듯합니다
2021년 09월 05일,1,8.0,"퓨리케어 공기청정기 1단짜리 사용 중인데 언제부터 어플에서 공기청정기 수치 표시가 사라지고 좋음,보통,나쁨만 표시됨 공청기 및 어플 설정 만진거 없고 어플 업데이트만 했는데 이러니까 점수를 좋게 줄 수가 없음"
2021년 09월 06일,2,2.0,에너지모니터링 . 지난달 대비 사용량... 이전달하고 이번달하고 바꼈다. 보기는 했는지 달 시작하자마자... 더 많이 썼다고 흘...
2021년 09월 07일,1,,LG엡만.서비스오작동기능들이잘안되고짜증나네.통신사이동하고삼성단말기로교체해야것네. 별하도아까워.빵점엘지돼지웹
2021년 09월 08일,4,,24시간매장운영중인데 에어컨을 새벽에 켜놓고 안끄고 가는사람이많아요 반복예약기능이 키고 끄는거를 한번에 해야해서 번거롭습니다 키고 끄는기능을 따로따로 설정할수있게 해주세요
2021년 09월 15일,2,1.0,"청소구역설정에서 적어도 2이상의 도면을 설정할 수 있게 개선해야 될 것임. 청소 도중에 더러워진 걸레를 교체하려고 일시중단을 누르고 교체 후에 다시 청소시작을 누르면 이전의 작업이 계속되지 않는 것으로 보임. 즉, 시작후 조금 있다 청소가 종료되었다고 보고되며 홈으로 이동도 안됨."
2021년 09월 16일,2,,위젯 투명으로 만들어주세요! 요즘 누가 화이트배경 써요? 웬만한 어플도 요즘엔 위젯을 투명배경으로 설정 가능하더라구요.빠른 처리 부탁드릴께요.
2021년 09월 15일,1,2.0,개임도 스트리밍으로 하는 시대에 정말 이앱은 느림~ 다른 이용자들이 왜 다들 별 하나를 주었는지 알것 같음.
2021년 09월 16일,1,2.0,핸드폰과 인터넷(공유기)변경을 했어요. 김냉은 등록실패. 미니워시는 전원끄면 연결실패.스탠드 에어컨은 계속 제품찾는중..벽걸이는 아예 안되네요. 어플이 문제인가요? 아니면 3년쓴 제품 4개가 동시에 와이파이모듈이 나갔을까요? 4개 제품 등록안되는 증상도 제각각이네요
2021년 09월 15일,1,3.0,도대체가 업데이트하고나면 연결이 안되가지고!!!! 어플을 지웠다가 다시 깔아서 다시 연결해서 되나 안되나 확인해야하는 이 짓거리를!!!! 몇번이고 다시 해야하는지!! 업데이틑 하지나말지 사라 번거롭게 증말. 아니면 어플을 만들지나 말던가. 제대로 되지도 않는 어플 아 진짜 ㅡㅡ
2021년 09월 16일,1,2.0,제발 연결 문제좀 해결해주세요ㅠ밖에 있을때 연결이 안되면 집에서 켜져있는지 꺼져있는지 모르니 불안해져요ㅜㅠ
2021년 09월 06일,1,12.0,"저만 끊기는게 아니었네요. 네트워크가 원활하지 않다, 요청이 올바르지 않다 하질 않나, 풍량을 줄여도 먹통이어서 결국 리모컨 꺼내고.. 게다가 도대체 이 단순한 앱이 왜이렇게 버벅이는지.. 답변 복붙해서 소비자들한테 제품명, 스샷 요구하지 말고 qa에 좀더 신경쓰시길..."
2021년 09월 07일,1,,티비 리모컨 채널이동이 왜 안되요?? 리모컨은 뭐가 좋다는건지;;;;
2021년 09월 08일,3,,광파오븐 레시피 관련 1. 검색 후 이전 검색 내역이 보이도록 해 주세요. 2. 즐겨찾기 가능하도록 설정 해 주세요. 조리하는 음식은 한정되어있는데 매번 검색하기 번거롭습니다.
2021년 09월 08일,1,1.0,센서허브가 연결이 안됩니다 잘 사용했고 몇일전부터 와이파이 점검 하라고 나오네요 에어컨 및 건조기 등은 연결되어있구요 센서허브만 연결안됩니다 여러번 리셋 연결 시도했으나 안됩니다 제품 삭제하고 다시할려고해도 삭제도 안됩니다 확인해주세요
2021년 09월 11일,1,2.0,업데이트 떠서 누르면 초기상태 일 때 업데이트가 가능하다고 제품전원을 껐다가 다시 하라는데.... 어떤 초기상태를 얘기하는건지 모르겠네요. 나중에 하려고하면 첫화면으로 바뀌고 앱에서 조작도 안되고... 어쩌라는건가요?
2021년 09월 13일,2,2.0,만족도 높게 잘 쓰고 있었습니다 칠월인가 팔원인가부터 다시 설정해야하고 맵 다 지워져있어서 청소기도 힘들어하네요? 저만 그런가요? 샤오미보다는 그래도 lg가 좋겠지하고 백화점에서 샀습니다 그런데 앱 안되면 의미있나요? 고객센터 확인해야하는건가요? 아 여기 와서 리뷰들 보고 앱삭제 하고 다시 설치를 두번 해봤습니다 그런데 스타일러는 인식했는데 티비랑 로봇은 와이파이 안잡혀요 ..
2021년 09월 03일,2,1.0,업데이트후 시스템 불안정 에어컨 실내 온도가 맞지않아요. 앱 종료후 재실행해야하고...안정성에 중점두고 새로운건 개발 마새요. 제에발.....기본만이라도
2021년 09월 03일,1,65.0,"업그레이드 후 에어컨 연결이 자주 끊기고,, 에어컨 삭제후 재등록해도 마찬가지이고,, 작년부터 쌓였던 데이터는 다 날라가고,,,사용은 블편하고,, 향편없네요. 앞으로 업그레이드는 층분히 안정화 한다음 시행하세요. 그리고, 고객이 과거버전도 일정기간(가전은 1년정도 더) 그냥 사용하게 해주세요. 효용없는 업그레이드보다는 고객은 안정적 사용을 더 중요하게 생각하는 사람도 많습니다."
2021년 09월 02일,3,5.0,"작년에는 사용량에 따른 예상 전기요금도 보였고, 회전방향도 앱으로 각각 정할수있었던것 같은데 올해는 예상전기요금도 듀얼회전을 각각 지정할수가 없네요. 더불어 오늘은 7월 31일인데, 8월 전기료 수치로 보이고, 시간당 전기사용량이 아침 8시이후로 멈춰있네요. 31일? 날짜인식이 안되는건 문제인것같네요."
2021년 09월 02일,1,7.0,"연결이 되지를 않아서 아주 극악의 개똥같은 앱입니다 1대1 문의 남기면 뭐가 달라집니까 그냥 연결이 안되는데... 일부 기기들은 연결했습니다 근데 세탁기 미니워시 냉장고 정수기는 몇번을해도 10분을 기다려도 안되네요 같은 방법으로 똑같이 하는데도 제품은 찾아놓고 제품 연결은 달나라가서 하나요? 화딱지나서 못 해먹겠네요 어떻게 거기까지 넘어갔어요 근데 이제 네트워크연결을 못하네? 사람 열받게 하려고 작정한 앱인가요? 휴대폰이 문젠가 싶어 다른 휴대폰으로 해봐도 똑같이 안되네요 저희집 휴대폰이 다 맛이간건가요? 정말 사람 스트레스받게하...
전체 리뷰"
2021년 09월 03일,1,7.0,"왜 업데이트 할때마다 알람 안오나요? 어플 업뎃을 했는지 매번 확인해야됩니까...... 잘 오다가 안오면 세탁이 끝났는지 건조가 끝났는지... 습할때는 뜨거워졌다가 건조기에서 빨래 안꺼내면 다시 습해져서 건조기 돌렸는데도 냄새남.... 빨래를 몇번 해야하는건지 모르겠다 진짜.... 건조할때마다 옷은 옷대로 줄어들고 진짜 너무 화가남...업뎃때마다 이러고 옷은 건조기 돌릴때 마다 줄고... 옷이라도 몇벌 사서 보내줄랍니까... 진짜 내가 너무 열받아서 어플키니 그제서야 팝업알람이 옴...... 뭔소용입니까...... 옷에 전부 냄새 ...
전체 리뷰"
2021년 09월 06일,3,,잘 쓰고 있었는데 얼마전에 인터넷을 변경해서 기기들 모두 재등록 해야하는데 냉장고만 등록이 안됩니다ㅜㅜ 그전엔 등록해서 잘 사용했는데요. 이 문제는 어디에 물어봐야할까요?
2021년 08월 23일,1,1.0,세탁기 업데이트 나중에 한다고 선택하면 좀 조작할 수 있게 해줘요. 외부에서 돌리려고 하는데 업데이트도 초기화 먼저해야한다고 하면 조작할 수 있는 방법이 없습니다. 너무 불편합니다.
2021년 08월 24일,1,40.0,"21.07.20 다시 여름이 와서 쓰는데 잘 되나 싶더니 앱 업데이트 하고 연결이 계속 끊김. 와이파이 보니 전기 아낄려고 주기적으로 붙어서 체크하던데, 제대로 처리를 못하니 끊긴채로 나옴. 개발 담당 바뀌면서 인수인계 제대로 안할 때 나타나는, 전임자 꿀팁을 알지 못해서 발생하는 전형적인 현상. .. 가전은 엘지라지만 최신기술은 최악이네요.// 20.06.04 업뎃 기기 잘쓰던것 안됨 미. 켜면 뜬금없이 와이파이 무조건 켜고 와이파이 켜진거 놔 두건 끄건 외부서 제어 안됨. 동작 프로세스도 안보고 코드 복붙 해서 쓰다 오류난 케이...
전체 리뷰"
2021년 09월 07일,1,2.0,"주말 8/8 lg 가전들 또 연결해제 lg서버 연결 안되네요. 이제 주 단위가 아니라 개월 단위로 지속중인데 해결을 안 하는건지 못하는건지 개선이없군요. ioT 시대에, lg 가전으로 사 모으는거 피하시기 바랍니다. 문의해봐야 고객 제품 문제라는 헛소리 계속하는데 제대로 알지도 못해요"
2021년 09월 08일,1,4.0,앱이 에러가 너무 많네요. 자주 안열립니다. 기기 상의 메뉴를 몇개만 남기고 앱으로 작동하도록 만들었면 앱 작동이 잘되게 관리 좀 잘 해주기 바랍니다. 앱이 작동이 안되니 적절한 사용 자체가 불가합니다.
2021년 09월 03일,4,1.0,물걸레 청소기 m9을 쓰고 있는데 아주 잘 닦기고 성능은 좋습니다 다만 넓은평수에서 지도 그리기가 어렵고 지도 이미지가 좀 작고 이쁘지가 않네요..밑에 옵션메뉴가 많아서 그런거 같아요 한 화면에 지도가 꽉찰수 있도록 하면 좋을것 같아요 샤오미로봇청소기를 쓰고있는데 거기 메뉴를 참고해주시면 좋을듯해요
2021년 09월 06일,1,2.0,역대 최악의 어플이네요 이래서 다들 삼성 삼성 하는건가 와이파이 연결해도 작동 끝나고 전원 꺼지면 연결되지도 않고 공기청정기 자동화 설정하면 제대로 작동 하지도 않고 1:1 문의남기면 대응도 안해 뭐하러 돈쳐들여서 이딴 거 만듭니까 이것도 핸드폰처럼 철수하지 어휴.... 다음에는 삼성꺼 쓸랍니다
2021년 08월 23일,1,,블루투스 자동연결을 꺼놨는데 뭐때문에 꺼져있는 블루투스가 자동으로 실행되는지 영문을 모를앱 핸드폰사업을 접으며 기본적은 케어는 유지한다한 약속도 접어버리는 느낌
